station_id,station_name,total_rainfall,reading_count,overall_rain_score,latitude,longitude
S228,S228,9.188189999999999,200,1.0,1.34703,103.70073
S203,S203,8.979015101010102,198,0.9772343738005095,1.29164,103.7702
S222,S222,8.87616,200,0.9660401014780933,1.28987,103.82364
S218,S218,8.868899950000001,200,0.9652499512961751,1.36491,103.75065
S212,S212,8.823,200,0.9602544135460849,1.31835,103.93574
S226,S226,8.62547,200,0.9387561641629093,1.27472,103.80389
S202,S202,8.440569900000002,200,0.9186324945391859,1.30968,103.7578
S221,S221,8.304120000000001,200,0.9037819200517188,1.35691,103.89088
S230,S230,8.24500005,200,0.8973475787940826,1.30167,103.76444
S216,S216,8.17122005,200,0.889317705663466,1.36019,103.85335
S219,S219,8.01286495,200,0.8720830707680187,1.37999,103.87643
S217,S217,7.981454799999999,200,0.8686645356702463,1.35041,103.85526
S229,S229,7.959630000000001,200,0.8662892256255043,1.35167,103.72195
S201,S201,7.89499995,200,0.8592551906305813,1.32311,103.76714
S213,S213,7.87600005,200,0.8571873296046338,1.32427,103.8097
S207,S207,7.802637989949749,199,0.849202943120435,1.32485,103.95836
S214,S214,7.645036458333333,192,0.8320503231140556,1.29911,103.88289
S06,S06,7.56206896551724,116,0.823020525861703,1.3524,103.9007
S33,Jurong Pier Road,7.549175837912088,1456,0.8216172976301197,1.3081,103.71
S223,S223,7.44401,200,0.81017153541666,1.29984,103.80264
S204,S204,7.395794950000001,200,0.8049240329161675,1.40081,103.88217
S82,Tuas West Road,7.331040642533936,1105,0.7978764743147385,1.3247,103.6351
S210,S210,7.247166717171718,198,0.7887480251465978,1.44003,103.76904
S101,Corporation Road,7.246153920118344,676,0.7886377970109831,1.35053,103.7134
S89,Tuas Road,7.236961013004791,1461,0.7876372836222142,1.31985,103.66162
S211,S211,7.0765801,200,0.7701821686316893,1.42918,103.75711
S209,S209,6.961785714285714,196,0.7576884799166882,1.42111,103.84472
S44,Nanyang Avenue,6.886577645818694,1423,0.7495031824351363,1.34583,103.68166
S121,Old Choa Chu Kang Road,6.873351998597476,1426,0.7480637643102153,1.37288,103.72244
S40,Mandai Lake Road,6.865432105624143,1458,0.7472017998783378,1.4044,103.78962
S114,Choa Chu Kang Avenue 4,6.791340768156424,1432,0.7391380422212018,1.38,103.73
S120,Holland Road,6.756241412894377,1458,0.7353179911271293,1.30874,103.818
S35,Old Toh Tuck Road,6.746888001383126,1446,0.7343000091838683,1.3329,103.7556
S11,Choa Chu Kang Road,6.744298583275743,1447,0.7340181889224912,1.3746,103.6938
S08,Upper Thomson Road,6.696755987306065,1418,0.7288438732009314,1.3701,103.8271
S110,Serangoon North Avenue 4,6.688188976377953,127,0.7279114794511164,1.36061,103.8697
S69,Upper Peirce Reservoir Park,6.688125496639284,1339,0.7279045706106736,1.37,103.805
S224,S224,6.678122346938776,196,0.7268158741753029,1.34392,103.98409
S205,S205,6.62451623655914,93,0.7209816336578957,1.38829,103.9116
S227,S227,6.62,200,0.7204901074096205,1.43944,103.80389
S55,Buangkok Green,6.582893106918239,795,0.716451565206884,1.3837,103.886
S64,Bukit Panjang Road,6.568421070472793,1121,0.7148764958574859,1.3824,103.7603
S900,Seletar Aerospace View,6.545734286713287,1430,0.7124073714968114,1.41284,103.86922
S90,Bukit Timah Road,6.517313012465374,1444,0.7093141317784433,1.3191,103.8191
S220,S220,6.5163001,200,0.7092038910819215,1.38666,103.89797
S50,Clementi Road,6.5041172086531756,1433,0.7078779616717957,1.3337,103.7768
S109,Ang Mo Kio Avenue 5,6.460014781966001,1353,0.703078058025139,1.3764,103.8492
S66,Kranji Way,6.453333340277778,1440,0.7023508808892479,1.4387,103.7363
S88,Toa Payoh North,6.449999986263736,1456,0.701988094092932,1.3427,103.8482
S123,Towner Road,6.441527770833333,1440,0.7010660174455833,1.3214,103.8577
S71,Kent Ridge Road,6.440794553093965,1309,0.7009862174262793,1.2923,103.7815
S07,Lornie Road,6.337888233264319,1449,0.689786370685012,1.3415,103.8334
S91,Yishun Avenue 5,6.331570504807693,1248,0.6890987784109486,1.4301,103.8308
S208,S208,6.30971995,200,0.6867206653323452,1.3136,104.00317
S77,Alexandra Road,6.274058843258043,1461,0.6828394758116717,1.2937,103.8125
S115,Tuas South Avenue 3,6.255915521126761,1420,0.6808648407495668,1.29377,103.61843
S81,Punggol Central,6.25465752739726,1460,0.6807279265445383,1.4029,103.9092
S100,Woodlands Road,6.208623080667594,1438,0.6757177507939642,1.4172,103.74855
S119,Nicoll Highway,6.1503769568197395,1459,0.6693785127233699,1.30105,103.8666
S43,Kim Chuan Road,6.072489669876203,1454,0.6609016215246097,1.3399,103.8878
S63,International Road,6.05343917989418,378,0.6588282545195714,1.3275,103.7042
S92,South Buona Vista Road,6.048514125777471,1447,0.6582922344637487,1.2841,103.7886
S46,Sime Road,6.038047408470925,1393,0.6571530854793954,1.3416,103.8106
S111,Scotts Road,6.019813700254022,1181,0.6551686132147924,1.31055,103.8365
S122,Sembawang Road,6.0026397515527945,1288,0.6532994802624669,1.41731,103.8249
S117,Banyan Road,5.9501066169154235,1407,0.6475820174501642,1.256,103.679
S61,Chai Chee Street,5.901848056125941,1461,0.6423297794370755,1.323,103.9217
S79,Somerset Road,5.865387237834134,1459,0.6383615530190532,1.3004,103.8372
S118,Handy Road,5.828748321870702,1454,0.6343739432761732,1.2994,103.8461
S78,Poole Road,5.810418108293352,1459,0.6323789678155712,1.30703,103.89067
