day,station_id,station_name,latitude,longitude,aggregated_value
2016-11-16,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,74.8
2016-11-16,S117,Banyan Road,1.256,103.679,75.8
2016-11-16,S50,Clementi Road,1.3337,103.7768,75.2
2016-11-16,S43,Kim Chuan Road,1.3399,103.8878,75.5
2016-11-16,S108,Marina Gardens Drive,1.2799,103.8703,80.6
2016-11-16,S44,Nanyang Avenue,1.34583,103.68166,80.0
2016-11-16,S121,Old Choa Chu Kang Road,1.37288,103.72244,85.9
2016-11-16,S106,Pulau Ubin,1.4168,103.9673,88.8
2016-11-16,S06,S06,1.3524,103.9007,75.0
2016-11-16,S102,Semakau Landfill,1.189,103.768,85.1
2016-11-16,S122,Sembawang Road,1.41731,103.8249,75.1
2016-11-16,S60,Sentosa,1.25,103.8279,81.1
2016-11-16,S96,Tanah Merah Coast Road,1.3175,104.0307,79.3
2016-11-16,S115,Tuas South Avenue 3,1.29377,103.61843,82.0
2016-11-16,S116,West Coast Highway,1.281,103.754,84.7
2016-11-16,S104,Woodlands Avenue 9,1.44387,103.78538,82.0
2016-11-16,S100,Woodlands Road,1.4172,103.74855,71.5
2016-11-17,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,83.3
2016-11-17,S117,Banyan Road,1.256,103.679,81.0
2016-11-17,S50,Clementi Road,1.3337,103.7768,88.4
2016-11-17,S107,East Coast Parkway,1.3135,103.9625,85.0
2016-11-17,S43,Kim Chuan Road,1.3399,103.8878,81.1
2016-11-17,S108,Marina Gardens Drive,1.2799,103.8703,85.0
2016-11-17,S44,Nanyang Avenue,1.34583,103.68166,92.4
2016-11-17,S06,S06,1.3524,103.9007,89.0
2016-11-17,S102,Semakau Landfill,1.189,103.768,82.9
2016-11-17,S60,Sentosa,1.25,103.8279,88.5
2016-11-17,S96,Tanah Merah Coast Road,1.3175,104.0307,81.3
2016-11-17,S115,Tuas South Avenue 3,1.29377,103.61843,75.7
2016-11-17,S24,Upper Changi Road North,1.3678,103.9826,79.9
2016-11-17,S116,West Coast Highway,1.281,103.754,87.6
2016-11-17,S104,Woodlands Avenue 9,1.44387,103.78538,96.4
2016-11-17,S100,Woodlands Road,1.4172,103.74855,83.5
2016-11-18,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,93.6
2016-11-18,S117,Banyan Road,1.256,103.679,77.4
2016-11-18,S50,Clementi Road,1.3337,103.7768,93.5
2016-11-18,S107,East Coast Parkway,1.3135,103.9625,91.9
2016-11-18,S43,Kim Chuan Road,1.3399,103.8878,89.1
2016-11-18,S108,Marina Gardens Drive,1.2799,103.8703,87.5
2016-11-18,S06,S06,1.3524,103.9007,97.0
2016-11-18,S102,Semakau Landfill,1.189,103.768,80.5
2016-11-18,S60,Sentosa,1.25,103.8279,76.5
2016-11-18,S96,Tanah Merah Coast Road,1.3175,104.0307,80.9
2016-11-18,S24,Upper Changi Road North,1.3678,103.9826,95.0
2016-11-18,S116,West Coast Highway,1.281,103.754,91.8
