day,station_id,station_name,latitude,longitude,total_rainfall
2022-01-01,S08,Upper Thomson Road,1.3701,103.8271,36.80000000000003
2022-01-01,S100,Woodlands Road,1.4172,103.74855,31.999999999999993
2022-01-01,S104,Woodlands Avenue 9,1.44387,103.78538,16.999999999999996
2022-01-01,S106,Pulau Ubin,1.4168,103.9673,6.8000000000000025
2022-01-01,S107,East Coast Parkway,1.3135,103.9625,13.599999999999994
2022-01-01,S108,Marina Gardens Drive,1.2799,103.8703,17.199999999999985
2022-01-01,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,26.199999999999996
2022-01-01,S111,Scotts Road,1.31055,103.8365,7.0
2022-01-01,S112,Lim Chu Kang Road,1.43854,103.70131,16.399999999999988
2022-01-01,S113,Marine Parade Road,1.30648,103.9104,10.799999999999995
2022-01-01,S114,Choa Chu Kang Avenue 4,1.38,103.73,24.799999999999997
2022-01-01,S115,Tuas South Avenue 3,1.29377,103.61843,4.000000000000001
2022-01-01,S116,West Coast Highway,1.281,103.754,6.2
2022-01-01,S118,Handy Road,1.2994,103.8461,4.600000000000002
2022-01-01,S119,Nicoll Highway,1.30105,103.8666,28.599999999999984
2022-01-01,S120,Holland Road,1.30874,103.818,11.799999999999995
2022-01-01,S121,Old Choa Chu Kang Road,1.37288,103.72244,26.4
2022-01-01,S123,Towner Road,1.3214,103.8577,37.800000000000026
2022-01-01,S201,S201,1.32311,103.76714,34.40000000000001
2022-01-01,S202,S202,1.30968,103.7578,28.684000000000005
2022-01-01,S203,S203,1.29164,103.7702,6.632999999999997
2022-01-01,S204,S204,1.40081,103.88217,5.426999999999998
2022-01-01,S205,S205,1.38829,103.9116,4.896000000000001
2022-01-01,S207,S207,1.32485,103.95836,27.33600000000002
2022-01-01,S208,S208,1.3136,104.00317,56.10000000000005
2022-01-01,S209,S209,1.42111,103.84472,13.13
2022-01-01,S210,S210,1.44003,103.76904,25.527
2022-01-01,S211,S211,1.42918,103.75711,36.33700000000003
2022-01-01,S212,S212,1.31835,103.93574,8.400000000000002
2022-01-01,S213,S213,1.32427,103.8097,10.999999999999991
2022-01-01,S214,S214,1.29911,103.88289,17.335999999999984
2022-01-01,S215,GEYLANG EAST CENTRAL,1.32785,103.88899,18.269999999999985
2022-01-01,S216,S216,1.36019,103.85335,19.78800000000001
2022-01-01,S217,S217,1.35041,103.85526,18.714999999999986
2022-01-01,S218,S218,1.36491,103.75065,17.136000000000006
2022-01-01,S219,S219,1.37999,103.87643,11.055
2022-01-01,S220,S220,1.38666,103.89797,4.871999999999999
2022-01-01,S221,S221,1.35691,103.89088,17.226000000000013
2022-01-01,S222,S222,1.28987,103.82364,5.426999999999998
2022-01-01,S223,S223,1.29984,103.80264,5.4810000000000025
2022-01-01,S224,S224,1.34392,103.98409,48.642000000000024
2022-01-01,S226,S226,1.27472,103.80389,5.000000000000001
2022-01-01,S227,S227,1.43944,103.80389,6.4639999999999995
2022-01-01,S228,S228,1.34703,103.70073,16.830000000000002
2022-01-01,S229,S229,1.35167,103.72195,25.984
2022-01-01,S230,S230,1.30167,103.76444,10.399999999999997
2022-01-01,S24,Upper Changi Road North,1.3678,103.9826,24.59999999999998
2022-01-01,S33,Jurong Pier Road,1.3081,103.71,7.800000000000001
2022-01-01,S40,Mandai Lake Road,1.4044,103.78962,27.199999999999992
2022-01-01,S43,Kim Chuan Road,1.3399,103.8878,21.599999999999984
2022-01-01,S44,Nanyang Avenue,1.34583,103.68166,18.199999999999996
2022-01-01,S50,Clementi Road,1.3337,103.7768,33.80000000000002
2022-01-01,S66,,,,2.0
2022-01-01,S69,Upper Peirce Reservoir Park,1.37,103.805,8.6
2022-01-01,S71,Kent Ridge Road,1.2923,103.7815,8.799999999999997
2022-01-01,S77,Alexandra Road,1.2937,103.8125,5.400000000000002
2022-01-01,S78,Poole Road,1.30703,103.89067,9.200000000000005
2022-01-01,S79,Somerset Road,1.3004,103.8372,8.4
2022-01-01,S81,Punggol Central,1.4029,103.9092,5.400000000000002
2022-01-01,S82,Tuas West Road,1.3247,103.6351,4.4
2022-01-01,S84,Simei Avenue,1.3437,103.9444,16.59999999999998
2022-01-01,S88,Toa Payoh North,1.3427,103.8482,17.39999999999999
2022-01-01,S89,Tuas Road,1.31985,103.66162,12.999999999999998
2022-01-01,S90,Bukit Timah Road,1.3191,103.8191,17.8
2022-01-01,S900,Seletar Aerospace View,1.41284,103.86922,7.000000000000001
2022-01-01,S94,Pasir Ris Street 51,1.3662,103.9528,16.999999999999982
2022-01-02,S08,Upper Thomson Road,1.3701,103.8271,101.20000000000005
2022-01-02,S100,Woodlands Road,1.4172,103.74855,32.999999999999986
2022-01-02,S104,Woodlands Avenue 9,1.44387,103.78538,43.59999999999998
2022-01-02,S106,,,,58.800000000000026
2022-01-02,S107,East Coast Parkway,1.3135,103.9625,36.19999999999998
2022-01-02,S108,Marina Gardens Drive,1.2799,103.8703,36.00000000000001
2022-01-02,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,86.0
2022-01-02,S111,Scotts Road,1.31055,103.8365,16.4
2022-01-02,S112,Lim Chu Kang Road,1.43854,103.70131,32.99999999999997
2022-01-02,S113,Marine Parade Road,1.30648,103.9104,31.99999999999996
2022-01-02,S114,Choa Chu Kang Avenue 4,1.38,103.73,31.39999999999997
2022-01-02,S115,Tuas South Avenue 3,1.29377,103.61843,19.399999999999988
2022-01-02,S116,West Coast Highway,1.281,103.754,46.80000000000002
2022-01-02,S118,Handy Road,1.2994,103.8461,31.000000000000004
2022-01-02,S119,Nicoll Highway,1.30105,103.8666,47.60000000000005
2022-01-02,S120,Holland Road,1.30874,103.818,78.20000000000007
2022-01-02,S121,Old Choa Chu Kang Road,1.37288,103.72244,30.199999999999967
2022-01-02,S123,Towner Road,1.3214,103.8577,74.00000000000003
2022-01-02,S201,S201,1.32311,103.76714,77.60000000000002
2022-01-02,S202,S202,1.30968,103.7578,68.882
2022-01-02,S203,S203,1.29164,103.7702,39.79800000000001
2022-01-02,S204,S204,1.40081,103.88217,85.62600000000005
2022-01-02,S205,S205,1.38829,103.9116,59.97600000000005
2022-01-02,S207,S207,1.32485,103.95836,42.21000000000004
2022-01-02,S208,S208,1.3136,104.00317,33.25200000000003
2022-01-02,S209,S209,1.42111,103.84472,86.05200000000002
2022-01-02,S210,S210,1.44003,103.76904,37.788000000000046
2022-01-02,S211,S211,1.42918,103.75711,37.96099999999999
2022-01-02,S212,S212,1.31835,103.93574,39.19999999999999
2022-01-02,S213,S213,1.32427,103.8097,99.4
2022-01-02,S214,S214,1.29911,103.88289,36.64199999999995
2022-01-02,S215,GEYLANG EAST CENTRAL,1.32785,103.88899,40.599999999999994
2022-01-02,S216,S216,1.36019,103.85335,75.48000000000002
2022-01-02,S217,S217,1.35041,103.85526,79.98200000000001
2022-01-02,S218,S218,1.36491,103.75065,45.08400000000003
2022-01-02,S219,S219,1.37999,103.87643,66.73200000000001
2022-01-02,S220,S220,1.38666,103.89797,65.77199999999999
2022-01-02,S221,S221,1.35691,103.89088,57.222000000000065
2022-01-02,S222,S222,1.28987,103.82364,42.61200000000003
2022-01-02,S223,S223,1.29984,103.80264,54.810000000000024
2022-01-02,S224,S224,1.34392,103.98409,38.19000000000004
2022-01-02,S226,S226,1.27472,103.80389,36.99999999999999
2022-01-02,S227,S227,1.43944,103.80389,83.22400000000002
2022-01-02,S228,S228,1.34703,103.70073,27.52200000000003
2022-01-02,S229,S229,1.35167,103.72195,50.95300000000001
2022-01-02,S230,S230,1.30167,103.76444,50.20000000000001
2022-01-02,S24,Upper Changi Road North,1.3678,103.9826,50.600000000000065
2022-01-02,S33,Jurong Pier Road,1.3081,103.71,45.4
2022-01-02,S35,,,,0.4
2022-01-02,S40,Mandai Lake Road,1.4044,103.78962,97.19999999999996
2022-01-02,S43,Kim Chuan Road,1.3399,103.8878,64.60000000000002
2022-01-02,S44,Nanyang Avenue,1.34583,103.68166,22.999999999999982
2022-01-02,S50,Clementi Road,1.3337,103.7768,63.6
2022-01-02,S69,Upper Peirce Reservoir Park,1.37,103.805,95.39999999999998
2022-01-02,S71,Kent Ridge Road,1.2923,103.7815,37.599999999999994
2022-01-02,S77,Alexandra Road,1.2937,103.8125,45.80000000000005
2022-01-02,S78,Poole Road,1.30703,103.89067,43.80000000000001
2022-01-02,S79,Somerset Road,1.3004,103.8372,45.0
2022-01-02,S81,Punggol Central,1.4029,103.9092,77.00000000000001
