station_id,station_name,total_rainfall,reading_count,overall_rain_score,latitude,longitude
S29,Pasir Ris Drive 12,10.026356511627906,129,1.0,1.387,103.935
S228,S228,9.967504907709014,921,0.9926778424895432,1.34703,103.70073
S61,Chai Chee Street,9.917391358695651,184,0.9864428501554422,1.323,103.9217
S211,Kranji Road,9.407358458333334,240,0.9229859350794337,1.42918,103.75711
S210,Woodlands Centre,9.356550083333332,240,0.9166644943738739,1.44003,103.76904
S202,S202,9.341161349397591,415,0.9147498696863412,1.30968,103.7578
S229,S229,9.145579847991314,921,0.89041614784926,1.35167,103.72195
S92,South Buona Vista Road,9.128971869158882,107,0.8883498280067457,1.2841,103.7886
S203,S203,9.118110618892509,921,0.8869985006016256,1.29164,103.7702
S227,S227,9.070041161780674,921,0.8810178286576614,1.43944,103.80389
S201,S201,8.995222649294247,921,0.8717091115345273,1.32311,103.76714
S216,S216,8.942996829533117,921,0.8652113161824967,1.36019,103.85335
S227,Woodlands Drive 62,8.83918325,240,0.8522951111778986,1.43944,103.80389
S64,Bukit Panjang Road,8.831520588235295,901,0.8513417435098253,1.3824,103.7603
S06,Paya Lebar,8.826562500000001,128,0.8507248715710487,1.3524,103.9007
S120,Holland Road,8.814993966142683,827,0.8492855458530092,1.30874,103.818
S218,S218,8.782631932681868,921,0.8452591491096794,1.36491,103.75065
S66,Kranji Way,8.703231467248909,1145,0.8353803577838735,1.4387,103.7363
S69,Upper Peirce Reservoir Park,8.619405611888112,1144,0.8249509714030634,1.37,103.805
S230,S230,8.606514679695984,921,0.8233471164580484,1.30167,103.76444
S213,S213,8.561129196525517,921,0.8177003772983079,1.32427,103.8097
S217,S217,8.560195407166123,921,0.8175841977498203,1.35041,103.85526
S211,S211,8.550351123227918,917,0.816359398546853,1.42918,103.75711
S219,S219,8.54937460369164,921,0.8162379026252377,1.37999,103.87643
S44,Nanyang Avenue,8.52026027881041,1076,0.8126155770063,1.34583,103.68166
S222,S222,8.501143311617806,921,0.8102370956126681,1.28987,103.82364
S08,Upper Thomson Road,8.489625143853532,1147,0.8088040363078085,1.3701,103.8271
S71,Kent Ridge Road,8.488501733449477,1148,0.8086642646214035,1.2923,103.7815
S201,Clementi Park,8.485000000000001,240,0.8082285884092134,1.32311,103.76714
S222,Henderson Road,8.443674916666664,240,0.8030870332237937,1.28987,103.82364
S35,Old Toh Tuck Road,8.440955032139577,1089,0.8027486325415449,1.3329,103.7556
S89,Tuas Road,8.412669701357467,1105,0.7992294481280255,1.31985,103.66162
S218,Bukit Batok Street 34,8.364850083333332,240,0.7932798604881516,1.36491,103.75065
S210,S210,8.359521441144114,909,0.7926168852278666,1.44003,103.76904
S114,Choa Chu Kang Avenue 4,8.305172394636015,1044,0.7858549237420948,1.38,103.73
S50,Clementi Road,8.297311379011276,1153,0.7848768774228164,1.3337,103.7768
