day,station_id,station_name,latitude,longitude,aggregated_value
2022-01-01,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,87.79547983310181
2022-01-01,S50,Clementi Road,1.3337,103.7768,89.29471488178014
2022-01-01,S107,East Coast Parkway,1.3135,103.9625,88.63052264808366
2022-01-01,S43,Kim Chuan Road,1.3399,103.8878,86.61390820584145
2022-01-01,S108,Marina Gardens Drive,1.2799,103.8703,97.5476356050073
2022-01-01,S44,Nanyang Avenue,1.34583,103.68166,89.94276773296248
2022-01-01,S121,Old Choa Chu Kang Road,1.37288,103.72244,90.95639777468722
2022-01-01,S106,Pulau Ubin,1.4168,103.9673,89.26588355464757
2022-01-01,S111,Scotts Road,1.31055,103.8365,88.4502092050209
2022-01-01,S115,Tuas South Avenue 3,1.29377,103.61843,86.96642958748227
2022-01-01,S24,Upper Changi Road North,1.3678,103.9826,87.42399165507653
2022-01-01,S104,Woodlands Avenue 9,1.44387,103.78538,90.5211079943897
2022-01-01,S100,Woodlands Road,1.4172,103.74855,90.12950704225356
2022-01-01,S116,West Coast Highway,1.281,103.754,93.30845886442658
2022-01-02,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,93.79534075104286
2022-01-02,S50,Clementi Road,1.3337,103.7768,96.79568845618928
2022-01-02,S107,East Coast Parkway,1.3135,103.9625,94.46986778009732
2022-01-02,S43,Kim Chuan Road,1.3399,103.8878,94.9164116828928
2022-01-02,S108,Marina Gardens Drive,1.2799,103.8703,99.5569937369546
2022-01-02,S44,Nanyang Avenue,1.34583,103.68166,96.52058414464516
2022-01-02,S121,Old Choa Chu Kang Road,1.37288,103.72244,96.25806675938767
2022-01-02,S115,Tuas South Avenue 3,1.29377,103.61843,92.8089920232054
2022-01-02,S24,Upper Changi Road North,1.3678,103.9826,94.11533101045303
2022-01-02,S104,Woodlands Avenue 9,1.44387,103.78538,96.87116052814407
2022-01-02,S100,Woodlands Road,1.4172,103.74855,96.26664233576592
2022-01-02,S111,Scotts Road,1.31055,103.8365,96.65935162094765
2022-01-02,S106,Pulau Ubin,1.4168,103.9673,99.0779239766074
2022-01-02,S116,West Coast Highway,1.281,103.754,99.65714285714289
2022-01-03,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,83.29290681502096
2022-01-03,S50,Clementi Road,1.3337,103.7768,85.45862308762159
2022-01-03,S107,East Coast Parkway,1.3135,103.9625,87.30411723656664
2022-01-03,S43,Kim Chuan Road,1.3399,103.8878,84.71692200557104
2022-01-03,S108,Marina Gardens Drive,1.2799,103.8703,96.02461752433932
2022-01-03,S44,Nanyang Avenue,1.34583,103.68166,88.54798331015266
2022-01-03,S121,Old Choa Chu Kang Road,1.37288,103.72244,87.63150208623115
2022-01-03,S111,Scotts Road,1.31055,103.8365,83.2090241343127
2022-01-03,S115,Tuas South Avenue 3,1.29377,103.61843,87.10539215686286
2022-01-03,S24,Upper Changi Road North,1.3678,103.9826,85.49040333796933
2022-01-03,S116,West Coast Highway,1.281,103.754,92.3275299238302
2022-01-03,S104,Woodlands Avenue 9,1.44387,103.78538,86.56329378925328
2022-01-03,S100,Woodlands Road,1.4172,103.74855,86.52621127879284
2022-01-03,S106,,,,98.5
2022-01-04,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,85.06133518776089
2022-01-04,S50,Clementi Road,1.3337,103.7768,85.74391092553931
2022-01-04,S107,East Coast Parkway,1.3135,103.9625,86.62514011208967
2022-01-04,S43,Kim Chuan Road,1.3399,103.8878,84.34860917941586
2022-01-04,S108,Marina Gardens Drive,1.2799,103.8703,95.95730180806656
2022-01-04,S44,Nanyang Avenue,1.34583,103.68166,89.28031988873433
2022-01-04,S121,Old Choa Chu Kang Road,1.37288,103.72244,90.55546425636813
2022-01-04,S106,Pulau Ubin,1.4168,103.9673,91.66467236467226
2022-01-04,S111,Scotts Road,1.31055,103.8365,87.70949057920444
2022-01-04,S115,Tuas South Avenue 3,1.29377,103.61843,89.77190476190452
2022-01-04,S24,Upper Changi Road North,1.3678,103.9826,86.08824756606407
2022-01-04,S116,West Coast Highway,1.281,103.754,94.1503246753246
2022-01-04,S104,Woodlands Avenue 9,1.44387,103.78538,88.52975609756098
2022-01-04,S100,Woodlands Road,1.4172,103.74855,87.3256643887624
2022-01-05,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,72.98609179415858
2022-01-05,S50,Clementi Road,1.3337,103.7768,75.88984700973585
2022-01-05,S107,East Coast Parkway,1.3135,103.9625,79.12256482130346
2022-01-05,S43,Kim Chuan Road,1.3399,103.8878,75.24304589707926
2022-01-05,S108,Marina Gardens Drive,1.2799,103.8703,88.3739916550748
2022-01-05,S44,Nanyang Avenue,1.34583,103.68166,80.95588030619331
2022-01-05,S121,Old Choa Chu Kang Road,1.37288,103.72244,80.94770514603613
2022-01-05,S106,Pulau Ubin,1.4168,103.9673,84.29533101045291
2022-01-05,S111,Scotts Road,1.31055,103.8365,77.94986091794168
2022-01-05,S115,Tuas South Avenue 3,1.29377,103.61843,81.407418622256
2022-01-05,S24,Upper Changi Road North,1.3678,103.9826,79.3488873435328
2022-01-05,S116,West Coast Highway,1.281,103.754,87.46195652173921
2022-01-05,S104,Woodlands Avenue 9,1.44387,103.78538,76.69930313588846
2022-01-05,S100,Woodlands Road,1.4172,103.74855,76.926893676164
2022-01-06,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,70.12623521224775
2022-01-06,S50,Clementi Road,1.3337,103.7768,71.79874826147413
2022-01-06,S107,East Coast Parkway,1.3135,103.9625,74.3400983146067
2022-01-06,S43,Kim Chuan Road,1.3399,103.8878,72.13894297635595
2022-01-06,S108,Marina Gardens Drive,1.2799,103.8703,82.92778551532066
2022-01-06,S44,Nanyang Avenue,1.34583,103.68166,75.11155184411963
2022-01-06,S121,Old Choa Chu Kang Road,1.37288,103.72244,74.8824634655532
2022-01-06,S106,Pulau Ubin,1.4168,103.9673,79.1127348643006
2022-01-06,S111,Scotts Road,1.31055,103.8365,72.59756606397765
2022-01-06,S115,Tuas South Avenue 3,1.29377,103.61843,72.7004187020237
2022-01-06,S24,Upper Changi Road North,1.3678,103.9826,75.2308977035489
2022-01-06,S116,West Coast Highway,1.281,103.754,79.4134146341465
2022-01-06,S104,Woodlands Avenue 9,1.44387,103.78538,73.29134682484302
2022-01-06,S100,Woodlands Road,1.4172,103.74855,71.05371785962463
2022-01-07,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,77.7785813630041
2022-01-07,S50,Clementi Road,1.3337,103.7768,81.35514603616151
2022-01-07,S107,East Coast Parkway,1.3135,103.9625,76.8531869688385
2022-01-07,S43,Kim Chuan Road,1.3399,103.8878,77.60375782880992
2022-01-07,S108,Marina Gardens Drive,1.2799,103.8703,90.3346314325447
2022-01-07,S44,Nanyang Avenue,1.34583,103.68166,83.35118219749653
2022-01-07,S121,Old Choa Chu Kang Road,1.37288,103.72244,83.14439805149625
2022-01-07,S106,Pulau Ubin,1.4168,103.9673,82.59784422809457
2022-01-07,S111,Scotts Road,1.31055,103.8365,81.46043115438108
2022-01-07,S24,Upper Changi Road North,1.3678,103.9826,77.43073170731691
2022-01-07,S116,West Coast Highway,1.281,103.754,89.55737134909602
2022-01-07,S104,Woodlands Avenue 9,1.44387,103.78538,80.78143254520175
2022-01-07,S100,Woodlands Road,1.4172,103.74855,80.22600834492351
2022-01-07,S115,Tuas South Avenue 3,1.29377,103.61843,80.67481203007527
2022-01-08,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,79.87432150313148
2022-01-08,S50,Clementi Road,1.3337,103.7768,81.8500000000002
2022-01-08,S107,East Coast Parkway,1.3135,103.9625,81.39142441860469
2022-01-08,S43,Kim Chuan Road,1.3399,103.8878,79.19176636171714
2022-01-08,S108,Marina Gardens Drive,1.2799,103.8703,90.57684283727204
2022-01-08,S44,Nanyang Avenue,1.34583,103.68166,81.91262203626218
2022-01-08,S121,Old Choa Chu Kang Road,1.37288,103.72244,81.43789986091794
2022-01-08,S106,Pulau Ubin,1.4168,103.9673,85.18942976356041
2022-01-08,S111,Scotts Road,1.31055,103.8365,81.15278164116833
2022-01-08,S115,Tuas South Avenue 3,1.29377,103.61843,80.57576621525297
2022-01-08,S24,Upper Changi Road North,1.3678,103.9826,80.85097629009746
2022-01-08,S116,West Coast Highway,1.281,103.754,90.34495476687572
2022-01-08,S104,Woodlands Avenue 9,1.44387,103.78538,82.43916083916083
2022-01-08,S100,Woodlands Road,1.4172,103.74855,80.44433634468372
2022-01-09,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,76.83129346314318
2022-01-09,S50,Clementi Road,1.3337,103.7768,76.98733472512178
2022-01-09,S107,East Coast Parkway,1.3135,103.9625,79.35587135377715
2022-01-09,S43,Kim Chuan Road,1.3399,103.8878,76.87877094972073
2022-01-09,S108,Marina Gardens Drive,1.2799,103.8703,87.2457898399427
2022-01-09,S44,Nanyang Avenue,1.34583,103.68166,78.43998584571838
2022-01-09,S121,Old Choa Chu Kang Road,1.37288,103.72244,77.77941585535473
