day,station_id,station_name,latitude,longitude,aggregated_value
2017-01-01,S77,Alexandra Road,1.2937,103.8125,43.2
2017-01-01,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,4.0
2017-01-01,S117,Banyan Road,1.256,103.679,71.80000000000001
2017-01-01,S55,Buangkok Green,1.3837,103.886,6.8
2017-01-01,S64,Bukit Panjang Road,1.3824,103.7603,3.8
2017-01-01,S90,Bukit Timah Road,1.3191,103.8191,22.8
2017-01-01,S61,Chai Chee Street,1.323,103.9217,0.2
2017-01-01,S114,Choa Chu Kang Avenue 4,1.38,103.73,6.200000000000001
2017-01-01,S11,Choa Chu Kang Road,1.3746,103.6938,2.1999999999999997
2017-01-01,S50,Clementi Road,1.3337,103.7768,6.600000000000001
2017-01-01,S101,Corporation Road,1.35053,103.7134,8.000000000000004
2017-01-01,S107,East Coast Parkway,1.3135,103.9625,1.2
2017-01-01,S118,Handy Road,1.2994,103.8461,37.2
2017-01-01,S120,Holland Road,1.30874,103.818,35.800000000000004
2017-01-01,S63,International Road,1.3275,103.7042,14.599999999999996
2017-01-01,S33,Jurong Pier Road,1.3081,103.71,49.600000000000016
2017-01-01,S71,Kent Ridge Road,1.2923,103.7815,31.799999999999994
2017-01-01,S43,Kim Chuan Road,1.3399,103.8878,6.4
2017-01-01,S66,Kranji Way,1.4387,103.7363,8.200000000000003
2017-01-01,S112,Lim Chu Kang Road,1.43854,103.70131,2.0
2017-01-01,S07,Lornie Road,1.3415,103.8334,14.399999999999997
2017-01-01,S40,Mandai Lake Road,1.4044,103.78962,2.4
2017-01-01,S108,Marina Gardens Drive,1.2799,103.8703,11.799999999999999
2017-01-01,S113,Marine Parade Road,1.30655,103.91074,8.399999999999999
2017-01-01,S44,Nanyang Avenue,1.34583,103.68166,20.59999999999999
2017-01-01,S119,Nicoll Highway,1.30105,103.8666,16.399999999999995
2017-01-01,S121,Old Choa Chu Kang Road,1.37288,103.72244,13.0
2017-01-01,S35,Old Toh Tuck Road,1.3329,103.7556,15.8
2017-01-01,S29,Pasir Ris Drive 12,1.387,103.935,0.0
2017-01-01,S94,Pasir Ris Street 51,1.3662,103.9528,0.0
2017-01-01,S78,Poole Road,1.30703,103.89067,6.200000000000001
2017-01-01,S106,Pulau Ubin,1.4168,103.9673,0.0
2017-01-01,S81,Punggol Central,1.4029,103.9092,0.4
2017-01-01,S06,S06,1.3524,103.9007,3.2
