day,station_id,station_name,latitude,longitude,total_rainfall
2023-01-01,S08,Upper Thomson Road,1.3701,103.8271,0.0
2023-01-01,S100,Woodlands Road,1.4172,103.74855,0.0
2023-01-01,S102,Semakau Landfill,1.189,103.768,0.0
2023-01-01,S104,Woodlands Avenue 9,1.44387,103.78538,0.0
2023-01-01,S106,Pulau Ubin,1.4168,103.9673,0.0
2023-01-01,S107,East Coast Parkway,1.3135,103.9625,0.0
2023-01-01,S108,Marina Gardens Drive,1.2799,103.8703,0.0
2023-01-01,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,0.0
2023-01-01,S111,Scotts Road,1.31055,103.8365,0.0
2023-01-01,S112,Lim Chu Kang Road,1.43854,103.70131,0.0
2023-01-01,S113,Marine Parade Road,1.30648,103.9104,0.0
2023-01-01,S114,Choa Chu Kang Avenue 4,1.38,103.73,0.0
2023-01-01,S115,Tuas South Avenue 3,1.29377,103.61843,0.0
2023-01-01,S116,West Coast Highway,1.281,103.754,0.0
2023-01-01,S118,Handy Road,1.2994,103.8461,0.0
2023-01-01,S119,Nicoll Highway,1.30105,103.8666,0.0
2023-01-01,S120,Holland Road,1.30874,103.818,0.0
2023-01-01,S121,Old Choa Chu Kang Road,1.37288,103.72244,0.0
2023-01-01,S123,Towner Road,1.3214,103.8577,0.0
2023-01-01,S201,S201,1.32311,103.76714,0.0
2023-01-01,S202,S202,1.30968,103.7578,0.0
2023-01-01,S203,S203,1.29164,103.7702,0.0
2023-01-01,S204,S204,1.40081,103.88217,0.0
2023-01-01,S205,S205,1.38829,103.9116,0.0
2023-01-01,S207,S207,1.32485,103.95836,0.0
2023-01-01,S208,S208,1.3136,104.00317,0.0
2023-01-01,S209,S209,1.42111,103.84472,0.0
2023-01-01,S210,S210,1.44003,103.76904,0.0
2023-01-01,S211,S211,1.42918,103.75711,0.0
2023-01-01,S212,S212,1.31835,103.93574,0.0
2023-01-01,S213,S213,1.32427,103.8097,0.0
2023-01-01,S214,S214,1.29911,103.88289,0.0
2023-01-01,S215,GEYLANG EAST CENTRAL,1.32785,103.88899,0.0
2023-01-01,S216,S216,1.36019,103.85335,0.0
2023-01-01,S217,S217,1.35041,103.85526,0.0
2023-01-01,S218,S218,1.36491,103.75065,0.0
2023-01-01,S219,S219,1.37999,103.87643,0.0
2023-01-01,S220,S220,1.38666,103.89797,0.0
2023-01-01,S221,S221,1.35691,103.89088,0.0
2023-01-01,S222,S222,1.28987,103.82364,0.0
2023-01-01,S223,S223,1.29984,103.80264,0.0
2023-01-01,S224,S224,1.34392,103.98409,0.0
2023-01-01,S226,S226,1.27472,103.80389,0.0
2023-01-01,S227,S227,1.43944,103.80389,0.0
2023-01-01,S228,S228,1.34703,103.70073,0.0
